evidence_family,platform,model_name,model_version,rows,task_score_coverage,mean_task_accuracy,grounding_score_coverage,mean_contextual_grounding,mean_generation_latency_ms,evidence_status,model_id,model_revision,condition,relevance_coverage,mean_answer_relevance,faithfulness_coverage,mean_faithfulness,pass_rate,failure_rate,mean_question_to_response_ms,condition_id,mean_total_score,acceptable_decision_rate,forbidden_claim_rate,p50_question_to_response_ms,mean_gpu_peak_mib,mean_generation_ms,mean_retrieval_ms
week2_text_diagnostic,Aido_Humanoid,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,7,0.8571428571428571,3.5,0.7142857142857143,3.0,578.2908428571428,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week2_text_diagnostic,Aido_Humanoid,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,7,0.8571428571428571,4.333333333333333,1.0,4.428571428571429,2764.3349285714285,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week2_text_diagnostic,Aido_Rover,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,7,0.8571428571428571,4.333333333333333,0.7142857142857143,5.0,769.7843571428572,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week2_text_diagnostic,Aido_Rover,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,7,1.0,4.285714285714286,1.0,4.571428571428571,1830.3791714285715,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week2_text_diagnostic,Fari,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,7,0.2857142857142857,1.0,0.8571428571428571,1.6666666666666667,190.94914285714285,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week2_text_diagnostic,Fari,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,7,1.0,4.0,1.0,4.142857142857143,2984.053014285714,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week2_text_diagnostic,Senpai,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,7,0.2857142857142857,1.0,0.42857142857142855,1.0,233.75525714285715,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week2_text_diagnostic,Senpai,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,7,1.0,3.857142857142857,0.8571428571428571,4.5,3203.1182000000003,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week2_text_diagnostic,Sentinel_Prime_AI,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,7,0.7142857142857143,1.8,0.5714285714285714,4.25,689.6764571428572,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week2_text_diagnostic,Sentinel_Prime_AI,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,7,1.0,3.857142857142857,1.0,4.428571428571429,1928.3150571428573,diagnostic_failed_calibration,,,,,,,,,,,,,,,,,,
week3_rag_diagnostic,Fari,,,20,,,,,1331.8591000000001,automated_diagnostic_uncalibrated_local_judge,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,base,1.0,0.08276032613490836,0.0,,,,,,,,,,,,
week3_rag_diagnostic,Fari,,,20,,,,,9366.08095,automated_diagnostic_uncalibrated_local_judge,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,rag,1.0,0.7015472976730711,1.0,0.8796688034188035,,,,,,,,,,,
week3_rag_diagnostic,Senpai,,,20,,,,,480.28135000000003,automated_diagnostic_uncalibrated_local_judge,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,base,1.0,0.0,0.0,,,,,,,,,,,,
week3_rag_diagnostic,Senpai,,,20,,,,,8507.0246,automated_diagnostic_uncalibrated_local_judge,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,rag,1.0,0.6925478133153994,1.0,0.9059523809523811,,,,,,,,,,,
